solution	ancestral	parental	incomparable
0	0.941176	0.625	0.789474
1	0.941176	0.5	0.736842
2	0.941176	0.875	0.947368
3	0.941176	0.875	1
4	0.941176	0.625	0.842105
5	0.941176	0.5	0.789474
6	1	1	1
7	1	0.875	0.947368
8	0.941176	0.875	0.947368
9	0.941176	0.875	0.894737
10	1	0.625	0.736842
11	1	0.625	0.736842
12	1	0.625	0.736842
13	1	0.5	0.631579
14	0.941176	0.625	0.894737
15	0.941176	0.625	0.894737
16	0.941176	0.375	0.631579
17	0.941176	0.375	0.578947
18	0.941176	0.625	0.736842
19	1	0.75	0.894737
20	1	0.625	0.842105
21	0.941176	0.625	0.789474
22	1	0.625	0.789474
23	1	0.625	0.842105
24	0.941176	0.625	0.789474
25	0.941176	0.625	0.842105
26	1	0.375	0.473684
27	1	0.375	0.368421
28	1	0.375	0.473684
29	1	0.375	0.473684
30	0.941176	0.75	0.842105
31	0.941176	0.75	0.894737
32	0.941176	0.75	0.894737
33	0.941176	0.75	0.894737
34	0.941176	0.75	0.947368
35	0.941176	0.75	0.842105
36	0.941176	0.75	0.894737
37	0.941176	0.5	0.842105
38	0.941176	0.5	0.736842
39	0.941176	0.5	0.789474
40	0.941176	0.5	0.789474
41	0.941176	0.5	0.684211
42	0.941176	0.5	0.736842
43	0.941176	0.75	0.842105
44	0.941176	0.75	0.894737
45	0.941176	0.75	0.894737
46	1	0.875	0.947368
47	1	0.75	0.894737
48	0.941176	0.75	0.842105
49	0.941176	0.75	0.789474
50	1	0.75	0.842105
51	0.941176	0.75	0.842105
52	1	0.875	0.894737
53	0.941176	0.75	0.842105
54	0.941176	0.75	0.789474
55	0.941176	0.75	0.789474
56	0.941176	0.75	0.842105
57	0.941176	0.75	0.789474
58	0.941176	0.75	0.789474
59	0.941176	0.75	0.842105
60	0.941176	0.75	0.842105
61	0.941176	0.75	0.789474
62	0.941176	0.75	0.789474
63	0.941176	0.75	0.789474
64	0.941176	0.75	0.736842
65	0.941176	0.75	0.736842
66	0.941176	0.75	0.789474
67	0.941176	0.75	0.684211
68	1	0.875	0.842105
69	1	0.75	0.789474
70	1	0.875	0.894737
71	1	0.75	0.842105
72	1	0.75	0.736842
73	1	0.75	0.842105
74	1	0.875	0.842105
75	1	0.875	0.842105
76	1	0.875	0.894737
77	0.941176	0.5	0.789474
78	0.941176	0.5	0.684211
79	0.941176	0.5	0.684211
80	0.941176	0.5	0.736842
81	0.941176	0.5	0.631579
82	0.941176	0.5	0.684211
83	0.941176	0.5	0.631579
84	1	0.5	0.631579
85	1	0.5	0.684211
86	0.941176	0.5	0.736842
87	1	0.5	0.789474
88	1	0.5	0.736842
89	0.941176	0.5	0.684211
90	0.941176	0.5	0.631579
91	0.941176	0.5	0.578947
92	0.941176	0.5	0.578947
93	1	0.5	0.736842
94	1	0.5	0.684211
95	1	0.5	0.684211
96	1	0.5	0.631579
97	1	0.5	0.631579
98	1	0.5	0.631579
99	1	0.5	0.526316
100	1	0.5	0.736842
101	0.941176	0.5	0.684211
102	1	0.625	0.789474
103	0.941176	0.5	0.789474
