index	count	depth
50	414	4
56	42	3
41	148	4
27	332	3
193	49	4
173	32	4
190	431	3
188	2	4
194	24	4
171	651	3
161	293	3
174	189	4
169	409	4
177	95	4
4	279	3
91	1	4
93	45	4
83	155	4
86	572	3
84	114	4
0	7	3
147	56	4
145	64	4
139	191	3
146	21	4
11	109	4
13	336	4
10	122	3
76	75	4
88	237	4
66	9	4
74	86	4
71	472	3
73	213	4
64	51	3
79	485	4
82	48	4
20	46	4
359	5	4
369	3	4
324	45	4
313	41	4
309	417	3
310	82	4
306	2	4
232	0	3
240	0	4
242	0	4
241	0	4
233	0	4
226	0	4
248	0	4
245	0	4
249	0	5
229	0	4
228	0	5
286	0	3
290	0	4
289	0	4
288	0	4
287	0	4
292	0	4
293	0	5
291	0	4
216	0	3
218	0	4
217	0	4
223	0	4
225	0	5
278	0	3
283	0	4
282	0	4
280	0	4
295	0	4
294	0	4
298	0	4
302	0	4
301	0	5
299	0	4
303	0	5
279	0	4
284	0	4
285	0	5
281	0	4
296	0	5
297	0	5
300	0	6
210	0	3
234	0	3
246	0	4
243	0	4
247	0	4
212	0	3
213	0	4
211	0	4
235	0	3
239	0	4
238	0	4
237	0	4
236	0	4
227	0	4
250	0	4
244	0	4
251	0	5
230	0	4
231	0	5
214	0	3
215	0	4
264	0	3
255	0	4
260	0	4
263	0	4
269	0	4
268	0	4
270	0	5
267	0	4
221	0	3
219	0	4
220	0	4
222	0	4
224	0	5
265	0	3
254	0	4
259	0	4
266	0	4
262	0	4
257	0	4
252	0	4
258	0	4
261	0	5
253	0	4
256	0	5
273	0	4
271	0	4
276	0	5
275	0	4
274	0	5
272	0	5
277	0	6
127	0	4
125	0	4
126	0	4
120	0	4
128	0	5
122	0	4
117	0	4
112	0	4
121	0	3
124	0	3
119	0	3
123	0	4
114	0	3
105	0	3
115	0	3
116	0	3
118	0	4
113	0	3
102	0	4
54	0	4
52	0	4
51	0	4
53	0	5
60	0	4
61	0	4
58	0	3
59	0	4
49	0	3
55	0	3
57	0	3
62	0	4
48	0	3
40	0	4
34	0	4
36	0	5
29	0	4
42	0	4
26	0	3
28	0	4
44	0	3
46	0	4
209	0	4
200	0	4
166	0	4
207	0	5
208	0	5
203	0	4
175	0	4
205	0	5
199	0	4
167	0	4
204	0	5
202	0	4
172	0	4
201	0	5
162	0	4
176	0	5
170	0	4
168	0	5
206	0	6
198	0	4
187	0	4
191	0	4
164	0	4
189	0	4
197	0	5
181	0	4
160	0	4
183	0	4
186	0	5
196	0	4
185	0	4
179	0	4
165	0	3
192	0	4
163	0	4
195	0	5
180	0	3
159	0	3
182	0	4
184	0	4
158	0	4
178	0	5
9	0	4
92	0	4
94	0	5
67	0	4
85	0	3
65	0	3
7	0	4
1	0	4
8	0	5
6	0	4
5	0	4
2	0	4
3	0	3
152	0	4
153	0	5
133	0	4
151	0	5
150	0	4
154	0	5
108	0	4
149	0	5
132	0	4
148	0	4
155	0	5
107	0	4
157	0	5
134	0	5
156	0	6
109	0	5
104	0	4
143	0	4
140	0	4
142	0	4
130	0	4
141	0	5
135	0	4
110	0	4
144	0	4
131	0	3
137	0	4
106	0	3
138	0	4
129	0	4
136	0	5
111	0	4
103	0	4
12	0	4
15	0	5
14	0	4
96	0	4
100	0	5
101	0	5
69	0	4
77	0	4
95	0	5
72	0	4
78	0	5
68	0	4
97	0	5
98	0	5
99	0	6
70	0	5
90	0	4
87	0	4
89	0	5
80	0	4
75	0	4
81	0	5
63	0	4
22	0	4
18	0	5
24	0	5
16	0	4
17	0	5
19	0	5
21	0	4
23	0	5
25	0	6
39	0	4
35	0	4
38	0	4
37	0	5
30	0	4
43	0	4
31	0	3
32	0	4
33	0	4
45	0	4
47	0	5
362	0	4
382	0	5
381	0	5
380	0	4
361	0	5
363	0	5
386	0	5
383	0	5
387	0	6
385	0	5
384	0	6
356	0	4
372	0	5
370	0	4
373	0	5
357	0	5
394	0	5
393	0	6
392	0	5
374	0	4
375	0	5
367	0	4
388	0	5
395	0	6
378	0	5
379	0	4
360	0	5
358	0	4
377	0	5
371	0	5
376	0	6
368	0	5
366	0	5
364	0	5
389	0	5
390	0	6
391	0	5
365	0	6
396	0	6
397	0	7
327	0	4
319	0	4
329	0	4
326	0	5
328	0	5
314	0	4
338	0	4
349	0	5
316	0	4
318	0	4
317	0	5
315	0	4
340	0	4
353	0	5
343	0	4
346	0	5
344	0	5
354	0	5
355	0	6
331	0	4
320	0	4
322	0	4
325	0	4
323	0	5
321	0	4
333	0	4
332	0	5
330	0	5
339	0	4
348	0	4
304	0	4
334	0	5
312	0	4
311	0	4
341	0	4
352	0	4
342	0	4
347	0	4
345	0	5
350	0	4
351	0	5
305	0	4
308	0	5
307	0	4
337	0	5
335	0	5
336	0	6
