index	count
5	6516
7	620
2	882
6	558
1	1204
85	391
83	779
86	597
81	482
80	483
208	780
198	110
204	211
181	178
206	122
205	38
160	234
207	16
197	109
202	228
182	37
199	165
163	168
194	26
201	72
183	61
164	192
203	17
158	168
20	814
13	750
21	859
27	273
16	526
26	32
14	132
22	451
15	57
18	270
24	271
23	138
132	185
130	36
119	256
131	22
124	20
129	33
126	11
118	98
128	66
122	62
127	180
116	113
125	8
123	143
249	371
242	162
248	106
247	50
255	19
256	20
253	62
288	94
289	1
297	192
298	52
294	142
301	29
304	5
306	52
250	8
246	482
252	44
251	15
245	120
261	55
259	29
260	176
263	1
258	166
285	42
291	17
292	60
293	120
300	309
302	153
311	43
309	30
4	1904
3	569
8	9
0	299
84	223
87	114
82	151
79	194
209	29
188	5
200	247
162	16
195	152
210	103
159	188
12	213
19	121
11	182
28	225
29	54
154	14
270	264
265	154
267	131
33	2653
32	1095
42	271
41	272
44	304
43	391
45	61
47	31
48	112
46	299
97	644
98	227
96	198
95	254
88	343
99	47
101	56
100	474
94	78
89	55
213	636
214	344
215	188
187	387
225	24
221	19
172	29
226	19
223	9
218	488
185	103
169	149
220	190
165	65
212	94
179	37
227	81
229	48
171	68
228	234
176	59
168	522
166	229
36	356
37	223
31	807
35	358
30	294
69	4
67	126
71	9
57	296
56	69
61	219
55	60
121	20
140	52
137	14
142	270
136	161
135	15
117	253
133	13
105	58
108	43
107	350
106	41
112	145
115	145
111	35
109	428
113	93
392	82
384	33
339	389
341	76
340	193
336	85
343	4
344	146
342	23
346	89
337	82
349	54
347	264
335	157
348	34
357	124
356	12
369	514
358	67
320	75
322	1
317	60
323	141
38	154
92	54
90	87
167	53
39	50
148	15
180	0
25	0
10	0
254	0
290	0
303	0
305	0
307	0
243	0
244	0
262	0
257	0
284	0
286	0
287	0
282	0
283	0
296	0
299	0
295	0
310	0
308	0
196	0
190	0
161	0
211	0
189	0
9	0
17	0
152	0
153	0
146	0
147	0
145	0
144	0
264	0
279	0
269	0
280	0
281	0
274	0
266	0
273	0
277	0
271	0
278	0
276	0
268	0
272	0
275	0
224	0
219	0
186	0
222	0
173	0
184	0
217	0
216	0
230	0
170	0
231	0
234	0
233	0
177	0
235	0
232	0
178	0
34	0
72	0
70	0
68	0
73	0
59	0
58	0
62	0
60	0
63	0
65	0
66	0
64	0
54	0
53	0
52	0
139	0
141	0
120	0
143	0
138	0
134	0
104	0
114	0
110	0
103	0
102	0
389	0
393	0
391	0
388	0
383	0
390	0
387	0
400	0
401	0
398	0
386	0
395	0
399	0
385	0
394	0
402	0
396	0
397	0
404	0
410	0
412	0
405	0
406	0
403	0
334	0
408	0
407	0
411	0
409	0
413	0
414	0
345	0
332	0
350	0
333	0
331	0
338	0
355	0
351	0
367	0
368	0
365	0
362	0
366	0
371	0
360	0
373	0
363	0
370	0
359	0
364	0
361	0
372	0
353	0
352	0
354	0
325	0
330	0
315	0
378	0
379	0
377	0
319	0
318	0
321	0
376	0
380	0
375	0
374	0
381	0
382	0
327	0
328	0
313	0
326	0
316	0
324	0
329	0
312	0
314	0
51	0
50	0
49	0
93	0
91	0
239	0
238	0
193	0
240	0
174	0
241	0
237	0
192	0
175	0
236	0
191	0
40	0
75	0
78	0
76	0
74	0
77	0
156	0
157	0
155	0
150	0
151	0
149	0
415	0
416	0
419	0
420	0
428	0
429	0
424	0
421	0
425	0
417	0
426	0
427	0
418	0
422	0
423	0
430	0
431	0
