solution	ancestral	parental	incomparable
0	0.916667	0.75	0.916667
1	0.833333	0.625	0.875
2	0.916667	0.625	0.916667
3	0.833333	0.625	0.791667
4	0.75	0.5	0.833333
5	0.75	0.5	0.833333
6	0.833333	0.5	0.875
7	0.833333	0.5	0.791667
8	0.916667	0.625	0.916667
9	0.833333	0.625	0.916667
10	0.833333	0.625	0.875
11	0.75	0.5	0.875
12	0.75	0.5	0.833333
13	0.833333	0.625	0.875
14	0.833333	0.5	0.875
15	0.75	0.5	0.833333
16	0.916667	0.75	0.916667
17	0.833333	0.625	0.791667
18	0.75	0.5	0.833333
19	0.833333	0.5	0.791667
20	1	1	1
21	0.916667	0.875	0.916667
22	0.916667	0.875	0.958333
23	0.916667	0.75	0.791667
24	1	0.875	0.916667
25	0.916667	0.625	0.833333
26	1	0.625	0.833333
27	0.916667	0.625	0.833333
28	0.833333	0.625	0.75
29	0.75	0.5	0.75
30	0.833333	0.5	0.75
31	0.833333	0.625	0.875
32	0.75	0.625	0.875
33	0.75	0.625	0.833333
34	0.833333	0.625	0.875
35	0.75	0.625	0.875
36	0.833333	0.5	0.75
37	0.916667	0.5	0.791667
38	0.833333	0.5	0.791667
39	0.833333	0.5	0.791667
40	0.75	0.5	0.708333
41	0.833333	0.625	0.875
42	0.916667	0.625	0.833333
43	0.833333	0.625	0.875
44	0.75	0.625	0.833333
45	0.916667	0.5	0.666667
46	0.916667	0.875	0.958333
47	1	0.875	0.958333
48	0.916667	0.875	0.916667
49	1	0.75	0.875
50	0.916667	0.75	0.791667
51	0.833333	0.75	0.875
52	0.833333	0.75	0.875
53	0.833333	0.75	0.875
54	0.833333	0.75	0.791667
55	0.833333	0.625	0.625
