1 #anatomical sites
6 #samples
15 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v1	0.000000	0.010000
0	R1	0	P	1	v2	0.540000	1.000000
0	R1	0	P	2	v3	0.000000	0.010000
0	R1	0	P	3	v4	0.850000	1.000000
0	R1	0	P	4	v5	0.000000	0.060000
0	R1	0	P	5	v6	0.000000	0.020000
0	R1	0	P	6	v7	0.260000	0.760000
0	R1	0	P	7	v8	0.000000	0.250000
0	R1	0	P	8	v9	0.000000	0.010000
0	R1	0	P	9	v10	0.820000	1.000000
0	R1	0	P	10	v11	0.000000	0.740000
0	R1	0	P	11	v12	0.740000	1.000000
0	R1	0	P	12	v13	0.000000	1.000000
0	R1	0	P	13	v14	0.000000	0.000000
0	R1	0	P	14	v15	0.000000	0.010000
1	R3	0	P	0	v1	0.000000	0.010000
1	R3	0	P	1	v2	0.000000	0.580000
1	R3	0	P	2	v3	0.260000	1.000000
1	R3	0	P	3	v4	0.860000	1.000000
1	R3	0	P	4	v5	0.000000	0.010000
1	R3	0	P	5	v6	0.000000	0.010000
1	R3	0	P	6	v7	0.000000	0.000000
1	R3	0	P	7	v8	0.000000	0.050000
1	R3	0	P	8	v9	0.000000	0.000000
1	R3	0	P	9	v10	0.020000	0.340000
1	R3	0	P	10	v11	0.770000	1.000000
1	R3	0	P	11	v12	0.000000	0.090000
1	R3	0	P	12	v13	0.720000	1.000000
1	R3	0	P	13	v14	0.000000	0.030000
1	R3	0	P	14	v15	0.000000	0.000000
2	R4	0	P	0	v1	0.000000	0.010000
2	R4	0	P	1	v2	0.000000	0.010000
2	R4	0	P	2	v3	0.000000	0.010000
2	R4	0	P	3	v4	0.820000	1.000000
2	R4	0	P	4	v5	0.000000	0.010000
2	R4	0	P	5	v6	0.000000	0.010000
2	R4	0	P	6	v7	0.000000	0.010000
2	R4	0	P	7	v8	0.710000	1.000000
2	R4	0	P	8	v9	0.000000	0.000000
2	R4	0	P	9	v10	0.000000	0.130000
2	R4	0	P	10	v11	0.520000	1.000000
2	R4	0	P	11	v12	0.000000	0.010000
2	R4	0	P	12	v13	0.820000	1.000000
2	R4	0	P	13	v14	0.000000	0.000000
2	R4	0	P	14	v15	0.050000	0.220000
3	R5	0	P	0	v1	0.000000	0.020000
3	R5	0	P	1	v2	0.000000	0.080000
3	R5	0	P	2	v3	0.000000	0.000000
3	R5	0	P	3	v4	0.820000	1.000000
3	R5	0	P	4	v5	0.000000	0.670000
3	R5	0	P	5	v6	0.370000	1.000000
3	R5	0	P	6	v7	0.000000	0.000000
3	R5	0	P	7	v8	0.000000	0.020000
3	R5	0	P	8	v9	0.000000	0.020000
3	R5	0	P	9	v10	0.000000	0.360000
3	R5	0	P	10	v11	0.770000	1.000000
3	R5	0	P	11	v12	0.000000	0.420000
3	R5	0	P	12	v13	0.000000	0.010000
3	R5	0	P	13	v14	0.000000	0.030000
3	R5	0	P	14	v15	0.000000	0.020000
4	R6	0	P	0	v1	0.650000	1.000000
4	R6	0	P	1	v2	0.000000	0.040000
4	R6	0	P	2	v3	0.000000	0.000000
4	R6	0	P	3	v4	0.850000	1.000000
4	R6	0	P	4	v5	0.000000	0.060000
4	R6	0	P	5	v6	0.000000	0.270000
4	R6	0	P	6	v7	0.000000	0.020000
4	R6	0	P	7	v8	0.000000	0.070000
4	R6	0	P	8	v9	0.000000	0.060000
4	R6	0	P	9	v10	0.610000	1.000000
4	R6	0	P	10	v11	0.000000	0.090000
4	R6	0	P	11	v12	0.000000	0.480000
4	R6	0	P	12	v13	0.000000	0.590000
4	R6	0	P	13	v14	0.000000	0.370000
4	R6	0	P	14	v15	0.000000	0.130000
5	R7	0	P	0	v1	0.000000	0.160000
5	R7	0	P	1	v2	0.000000	0.010000
5	R7	0	P	2	v3	0.000000	0.100000
5	R7	0	P	3	v4	0.740000	1.000000
5	R7	0	P	4	v5	0.500000	1.000000
5	R7	0	P	5	v6	0.000000	0.010000
5	R7	0	P	6	v7	0.000000	0.000000
5	R7	0	P	7	v8	0.000000	0.100000
5	R7	0	P	8	v9	0.000000	0.010000
5	R7	0	P	9	v10	0.760000	1.000000
5	R7	0	P	10	v11	0.000000	0.150000
5	R7	0	P	11	v12	0.000000	0.010000
5	R7	0	P	12	v13	0.000000	0.400000
5	R7	0	P	13	v14	0.000000	0.010000
5	R7	0	P	14	v15	0.000000	0.000000
