1 #anatomical sites
5 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v1	0.790000	1.000000
0	R1	0	P	1	v2	0.650000	1.000000
0	R1	0	P	2	v3	0.200000	1.000000
0	R1	0	P	3	v4	0.260000	1.000000
0	R1	0	P	4	v5	0.460000	0.940000
0	R1	0	P	5	v6	0.000000	1.000000
1	R2	0	P	0	v1	0.790000	1.000000
1	R2	0	P	1	v2	0.660000	1.000000
1	R2	0	P	2	v3	0.510000	1.000000
1	R2	0	P	3	v4	0.330000	1.000000
1	R2	0	P	4	v5	0.330000	0.880000
1	R2	0	P	5	v6	0.000000	0.000000
2	R3	0	P	0	v1	0.760000	1.000000
2	R3	0	P	1	v2	0.330000	1.000000
2	R3	0	P	2	v3	0.000000	0.100000
2	R3	0	P	3	v4	0.000000	0.000000
2	R3	0	P	4	v5	0.620000	1.000000
2	R3	0	P	5	v6	0.620000	1.000000
3	R4	0	P	0	v1	0.770000	1.000000
3	R4	0	P	1	v2	0.680000	1.000000
3	R4	0	P	2	v3	0.750000	1.000000
3	R4	0	P	3	v4	0.000000	0.000000
3	R4	0	P	4	v5	0.000000	0.000000
3	R4	0	P	5	v6	0.000000	0.000000
4	R5	0	P	0	v1	0.710000	1.000000
4	R5	0	P	1	v2	0.000000	0.140000
4	R5	0	P	2	v3	0.000000	0.900000
4	R5	0	P	3	v4	0.000000	0.000000
4	R5	0	P	4	v5	0.000000	0.210000
4	R5	0	P	5	v6	0.000000	0.070000
