14 #trees
9 #edges, tree 1
0;1;2 3
0;1;2 7;8
3 4
3 5;6
3 11
4 13;14;15
5;6 9
5;6 10
11 12
9 #edges, tree 2
11 12
11 9
5;6 10
4 13;14;15
3 11
3 5;6
3 4
0;1;2 7;8
0;1;2 3
9 #edges, tree 3
0;1;2 3
0;1;2 7;8
3 4
3 5;6
3 11
5;6 9
5;6 10
11 13;14;15
11 12
9 #edges, tree 4
0;1;2 3
0;1;2 7;8
3 4
3 5;6
3 11
5;6 13;14;15
5;6 9
5;6 10
11 12
9 #edges, tree 5
11 12
9 13;14;15
5;6 10
5;6 9
3 11
3 5;6
3 4
0;1;2 7;8
0;1;2 3
9 #edges, tree 6
11 12
11 9
5;6 10
5;6 13;14;15
3 11
3 5;6
3 4
0;1;2 7;8
0;1;2 3
9 #edges, tree 7
11 12
11 9
9 13;14;15
5;6 10
3 11
3 5;6
3 4
0;1;2 7;8
0;1;2 3
9 #edges, tree 8
11 12
11 9
5;6 10
4 13;14;15
3 7;8
3 11
3 5;6
3 4
0;1;2 3
9 #edges, tree 9
0;1;2 3
3 4
3 5;6
3 11
3 7;8
4 13;14;15
5;6 9
5;6 10
11 12
9 #edges, tree 10
0;1;2 3
3 4
3 5;6
3 11
3 7;8
5;6 10
9 13;14;15
11 9
11 12
9 #edges, tree 11
0;1;2 3
3 4
3 5;6
3 11
3 7;8
5;6 13;14;15
5;6 10
11 9
11 12
9 #edges, tree 12
0;1;2 3
3 4
3 5;6
3 11
3 7;8
5;6 13;14;15
5;6 9
5;6 10
11 12
9 #edges, tree 13
0;1;2 3
3 4
3 5;6
3 11
3 7;8
5;6 9
5;6 10
9 13;14;15
11 12
9 #edges, tree 14
0;1;2 3
3 4
3 5;6
3 11
3 7;8
5;6 9
5;6 10
11 13;14;15
11 12
