# 27 out of 27 mutations
60 #trees
12 #edges, tree 1
7;8 20;22;26
7;8 18;19;23
21;24 25
14;17 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 2
7;8 20;22;26
7;8 18;19;23
14;17 21;24
14;17 25
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 3
7;8 20;22;26
7;8 18;19;23
15 25
14;17 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 4
7;8 20;22;26
7;8 18;19;23
14;17 21;24
10 16
10 15
10 25
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 5
7;8 20;22;26
7;8 18;19;23
14;17 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 6
7;8 20;22;26
7;8 18;19;23
15 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 7
7;8 20;22;26
7;8 18;19;23
21;24 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 8
7;8 20;22;26
7;8 18;19;23
15 21;24
14;17 25
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 9
7;8 20;22;26
7;8 18;19;23
15 21;24
10 16
10 15
10 25
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 10
7;8 20;22;26
7;8 18;19;23
21;24 25
15 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 11
7;8 20;22;26
7;8 18;19;23
15 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 12
7;8 20;22;26
7;8 18;19;23
14;17 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 13
7;8 20;22;26
7;8 18;19;23
21;24 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 14
7;8 20;22;26
7;8 18;19;23
15 21;24
10 16
10 15
10 25
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 15
7;8 20;22;26
7;8 18;19;23
14;17 21;24
10 16
10 15
10 25
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 16
7;8 20;22;26
7;8 18;19;23
14;17 21;24
14;17 25
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 17
7;8 20;22;26
7;8 18;19;23
15 21;24
14;17 25
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 18
7;8 20;22;26
7;8 18;19;23
15 25
14;17 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 19
7;8 20;22;26
7;8 18;19;23
21;24 25
14;17 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 20
7;8 20;22;26
7;8 18;19;23
21;24 25
15 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 21
20;22;26 18;19;23
7;8 20;22;26
15 21;24
14;17 25
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 22
20;22;26 18;19;23
7;8 20;22;26
14;17 21;24
14;17 25
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 23
20;22;26 18;19;23
7;8 20;22;26
14;17 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 24
20;22;26 18;19;23
7;8 20;22;26
15 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 25
20;22;26 18;19;23
7;8 20;22;26
15 25
14;17 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 26
20;22;26 18;19;23
7;8 20;22;26
21;24 25
10 16
10 21;24
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 27
20;22;26 18;19;23
7;8 20;22;26
15 21;24
10 16
10 15
10 25
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 28
20;22;26 18;19;23
7;8 20;22;26
21;24 25
15 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 29
20;22;26 18;19;23
7;8 20;22;26
14;17 21;24
10 16
10 15
10 25
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 30
20;22;26 18;19;23
7;8 20;22;26
21;24 25
14;17 21;24
10 16
10 15
10 14;17
9;11 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 31
20;22;26 18;19;23
7;8 20;22;26
15 25
14;17 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 32
20;22;26 18;19;23
7;8 20;22;26
14;17 21;24
10 16
10 15
10 25
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 33
20;22;26 18;19;23
7;8 20;22;26
21;24 25
14;17 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 34
20;22;26 18;19;23
7;8 20;22;26
14;17 21;24
14;17 25
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 35
20;22;26 18;19;23
7;8 20;22;26
15 21;24
10 16
10 15
10 25
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 36
20;22;26 18;19;23
7;8 20;22;26
14;17 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 37
20;22;26 18;19;23
7;8 20;22;26
21;24 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 38
20;22;26 18;19;23
7;8 20;22;26
15 25
10 16
10 21;24
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 39
20;22;26 18;19;23
7;8 20;22;26
15 21;24
14;17 25
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 40
20;22;26 18;19;23
7;8 20;22;26
21;24 25
15 21;24
10 16
10 15
10 14;17
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 41
7;8 20;22;26
21;24 25
10 16
10 21;24
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 42
7;8 20;22;26
15 25
10 16
10 21;24
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 43
7;8 20;22;26
14;17 25
10 16
10 21;24
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 44
7;8 20;22;26
14;17 21;24
10 16
10 15
10 25
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 45
7;8 20;22;26
15 21;24
10 16
10 15
10 25
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 46
7;8 20;22;26
15 21;24
14;17 25
10 16
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 47
7;8 20;22;26
21;24 25
15 21;24
10 16
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 48
7;8 20;22;26
15 25
14;17 21;24
10 16
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 49
7;8 20;22;26
21;24 25
14;17 21;24
10 16
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 50
7;8 20;22;26
14;17 21;24
14;17 25
10 16
10 15
10 14;17
9;11 18;19;23
6 12;13
6 10
6 9;11
0;1;2;3;4;5 7;8
0;1;2;3;4;5 6
12 #edges, tree 51
7;8 20;22;26
14;17 21;24
10 16
10 15
10 25
10 14;17
9;11 12;13
9;11 18;19;23
6 10
6 9;11
