1 #anatomical sites
2 #samples
10 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	0	1	1
0	P_0	0	P	1	1	0.0954958	0.0954958
0	P_0	0	P	2	4	0.0954958	0.0954958
0	P_0	0	P	3	9	0.0954958	0.0954958
0	P_0	0	P	4	5	0	0
0	P_0	0	P	5	8	0	0
0	P_0	0	P	6	6	0	0
0	P_0	0	P	7	2	0	0
0	P_0	0	P	8	3	0	0
0	P_0	0	P	9	10	0	0
1	P_1	0	P	0	0	0.999999	0.999999
1	P_1	0	P	1	1	0.584974	0.584974
1	P_1	0	P	2	4	0.112262	0.112262
1	P_1	0	P	3	9	0	0
1	P_1	0	P	4	5	0.187266	0.187266
1	P_1	0	P	5	8	0.109018	0.109018
1	P_1	0	P	6	6	0.122715	0.122715
1	P_1	0	P	7	2	0.204192	0.204192
1	P_1	0	P	8	3	0.210833	0.210833
1	P_1	0	P	9	10	0.0997756	0.0997756
