1 #anatomical sites
1 #samples
24 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	0	1	1
0	P_0	0	P	1	1	0.0549124	0.0549124
0	P_0	0	P	2	10	0.423733	0.423733
0	P_0	0	P	3	11	0.423733	0.423733
0	P_0	0	P	4	12	0.423733	0.423733
0	P_0	0	P	5	13	0.417551	0.417551
0	P_0	0	P	6	17	0.417551	0.417551
0	P_0	0	P	7	18	0.423733	0.423733
0	P_0	0	P	8	19	0.417551	0.417551
0	P_0	0	P	9	2	0.103803	0.103803
0	P_0	0	P	10	20	0.417551	0.417551
0	P_0	0	P	11	21	0.423733	0.423733
0	P_0	0	P	12	22	0.417551	0.417551
0	P_0	0	P	13	23	0.423733	0.423733
0	P_0	0	P	14	24	0.417551	0.417551
0	P_0	0	P	15	26	0.417551	0.417551
0	P_0	0	P	16	27	0.423733	0.423733
0	P_0	0	P	17	28	0.258603	0.258603
0	P_0	0	P	18	29	0.18946	0.18946
0	P_0	0	P	19	3	0.841284	0.841284
0	P_0	0	P	20	30	0.0380659	0.0380659
0	P_0	0	P	21	4	0.841284	0.841284
0	P_0	0	P	22	7	0.423733	0.423733
0	P_0	0	P	23	8	0.417551	0.417551
