n	seed	k	bound	count	inc
3	12	1	2.0	2	1.0
3	104	1	2.0	2	1.0
3	39	1	2.0	2	1.0
3	50	1	2.0	2	1.0
3	129	1	2.0	2	1.0
3	8	1	2.0	2	1.0
3	119	1	2.0	2	1.0
3	15	1	2.0	2	1.0
3	2	1	2.0	2	1.0
3	30	1	2.0	2	1.0
3	12	2	2.0	2	1.0
3	39	2	2.0	2	1.0
3	104	2	2.0	2	1.0
3	8	2	2.0	2	1.0
3	129	2	2.0	2	1.0
3	50	2	2.0	2	1.0
3	30	2	2.0	2	1.0
3	2	2	2.0	1	1.0
3	15	2	2.0	2	1.0
3	119	2	2.0	2	1.0
3	12	5	1.0	1	0.666666666667
3	104	5	1.0	1	0.666666666667
3	39	5	1.0	1	0.666666666667
3	50	5	1.0	1	0.666666666667
3	129	5	1.0	1	0.666666666667
3	8	5	1.0	1	0.666666666667
3	119	5	1.0	1	0.666666666667
3	15	5	1.0	1	0.666666666667
3	30	5	1.0	1	0.666666666667
3	2	5	2.0	1	1.0
3	15	10	1.0	1	0.666666666667
3	119	10	1.0	1	0.666666666667
3	39	10	1.0	1	0.666666666667
3	129	10	1.0	1	0.666666666667
3	8	10	1.0	1	0.666666666667
3	104	10	1.0	1	0.666666666667
3	12	10	1.0	1	0.666666666667
3	50	10	1.0	1	0.666666666667
3	2	10	2.0	1	1.0
3	30	10	1.0	1	0.666666666667
5	45	1	24.0	12	1.0
5	5	1	24.0	16	1.0
5	71	1	24.0	11	1.0
5	69	1	24.0	22	1.0
5	3	1	24.0	15	1.0
5	18	1	24.0	21	1.0
5	62	1	24.0	18	1.0
5	66	1	24.0	11	1.0
5	9	1	24.0	21	1.0
5	37	1	24.0	24	1.0
5	45	2	16.0	3	0.9
5	5	2	6.0	5	0.7
5	71	2	18.0	4	0.9
5	66	2	12.0	4	0.8
5	18	2	6.0	5	0.7
5	3	2	12.0	6	0.9
5	62	2	6.0	5	0.7
5	69	2	6.0	4	0.7
5	37	2	6.0	6	0.7
5	9	2	6.0	3	0.7
5	45	5	24.0	5	1.0
5	5	5	6.0	5	0.7
5	71	5	24.0	2	1.0
5	69	5	8.0	7	0.8
5	62	5	6.0	6	0.7
5	18	5	8.0	6	0.8
5	3	5	6.0	4	0.7
5	66	5	6.0	2	0.7
5	9	5	24.0	9	1.0
5	37	5	6.0	6	0.7
5	5	10	2.0	2	0.5
5	69	10	3.0	2	0.6
5	45	10	18.0	2	0.9
5	71	10	18.0	1	0.9
5	3	10	2.0	1	0.5
5	66	10	6.0	2	0.7
5	62	10	2.0	2	0.5
5	18	10	3.0	2	0.6
