 1 #anatomical sites
1 #samples
36 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	106	98
0	P_0	0	P	1	1	107	88
0	P_0	0	P	2	2	96	88
0	P_0	0	P	3	3	123	105
0	P_0	0	P	4	4	111	90
0	P_0	0	P	5	5	95	107
0	P_0	0	P	6	6	81	88
0	P_0	0	P	7	7	91	99
0	P_0	0	P	8	8	108	109
0	P_0	0	P	9	9	99	82
0	P_0	0	P	10	10	116	72
0	P_0	0	P	11	11	163	21
0	P_0	0	P	12	12	146	59
0	P_0	0	P	13	13	191	18
0	P_0	0	P	14	14	161	15
0	P_0	0	P	15	15	159	48
0	P_0	0	P	16	16	194	25
0	P_0	0	P	17	17	150	18
0	P_0	0	P	18	18	179	22
0	P_0	0	P	19	20	163	17
0	P_0	0	P	20	21	193	10
0	P_0	0	P	21	23	178	22
0	P_0	0	P	22	25	173	14
0	P_0	0	P	23	27	186	13
0	P_0	0	P	24	28	171	15
0	P_0	0	P	25	32	186	21
0	P_0	0	P	26	33	190	11
0	P_0	0	P	27	37	218	9
0	P_0	0	P	28	38	185	20
0	P_0	0	P	29	41	170	16
0	P_0	0	P	30	44	182	12
0	P_0	0	P	31	45	184	18
0	P_0	0	P	32	50	196	17
0	P_0	0	P	33	51	189	11
0	P_0	0	P	34	53	197	9
0	P_0	0	P	35	58	196	7
