1 #anatomical sites
1 #samples
18 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	108	93
0	P_0	0	P	1	1	93	92
0	P_0	0	P	2	2	99	92
0	P_0	0	P	3	6	132	76
0	P_0	0	P	4	9	139	86
0	P_0	0	P	5	10	127	66
0	P_0	0	P	6	13	101	71
0	P_0	0	P	7	16	133	94
0	P_0	0	P	8	19	119	88
0	P_0	0	P	9	20	117	75
0	P_0	0	P	10	22	118	72
0	P_0	0	P	11	24	109	81
0	P_0	0	P	12	25	125	64
0	P_0	0	P	13	26	123	71
0	P_0	0	P	14	30	154	23
0	P_0	0	P	15	31	201	11
0	P_0	0	P	16	33	180	7
0	P_0	0	P	17	35	155	22
